Tunnel cluster, Average bottleneck radius, Standard deviation, Out of histogram range, Histogram, 0.0_0.1, 0.1_0.2, 0.2_0.3, 0.3_0.4, 0.4_0.5, 0.5_0.6, 0.6_0.7, 0.7_0.8, 0.8_0.9, 0.9_1.0, 1.0_1.1, 1.1_1.2, 1.2_1.3, 1.3_1.4, 1.4_1.5, 1.5_1.6, 1.6_1.7, 1.7_1.8, 1.8_1.9, 1.9_2.0
1, 2.98848795867941, 0.0, 1, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, 2.884696161026451, 0.0, 1, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
